cohort,condition,lora_enabled,placement,rank,alpha,alpha_over_rank,p_sbi,seed,source_metric,source_auc,config_or_run_identifier,checkpoint_sha256,provenance_note
adaptive_stagea_F2a,Frozen / no SBI,false,frozen,,,,0.0,3407,frame_auc,0.8710210587127092,frozen_no_sbi_seed3407,8d0bba419e777c5ae2cbd3773d177b1a1728e417bf538b219728c51691dd292c,Existing seed-3407 reference retained after F2a-to-F2b source-equivalence audit
lora_sbi_2x2_F2b,Frozen / no SBI,false,frozen,,,,0.0,7859,frame_auc,0.8721844761830116,frozen_no_sbi__seed7859,1c72e46099adee6956b2afd7a9ac8edd9477fc456c5f7ff9642a897bd2e1f363,Missing factorial cell completed under frozen source-only protocol
lora_sbi_2x2_F2b,Frozen / no SBI,false,frozen,,,,0.0,12011,frame_auc,0.8685516429875613,frozen_no_sbi__seed12011,d8f4b071048c2b2017fb68991ea2e609b0d553fc8b6e68cd5983fdad37fc7acc,Missing factorial cell completed under frozen source-only protocol
adaptive_stagea_F2a,Frozen / SBI,false,frozen,,,,0.25,3407,frame_auc,0.8675945906338437,frozen_sbi_seed3407,ab35f5a5e083cad18707c0baeb05523e407e972da7476dd197e8bce973b917ed,Existing seed-3407 reference retained after F2a-to-F2b source-equivalence audit
lora_sbi_2x2_F2b,Frozen / SBI,false,frozen,,,,0.25,7859,frame_auc,0.868547269918763,frozen_sbi__seed7859,f284c88159139d83cf0f99d9ae1f8ac27f8108434e2829a68210b5f3b89ca69b,Missing factorial cell completed under frozen source-only protocol
lora_sbi_2x2_F2b,Frozen / SBI,false,frozen,,,,0.25,12011,frame_auc,0.8661478295416265,frozen_sbi__seed12011,58a3bf7ccd6bf3d9a2d83ac3234402e834b60bd49edc68cf9d617c52eb713a8b,Missing factorial cell completed under frozen source-only protocol
corrected_sbi_F2b,Attn-Out LoRA / no SBI,true,attn_out,16,64,4.0,0.0,3407,frame_auc,0.9745364200352071,attn_out_r16_alpha64_p000__seed3407,8f8370bfa3fe82be41bd6b7c19288cdb199470c60df31a488f7ecfa13911e726,Immutable corrected-SBI sweep checkpoint
corrected_sbi_F2b,Attn-Out LoRA / no SBI,true,attn_out,16,64,4.0,0.0,7859,frame_auc,0.9780298023139257,attn_out_r16_alpha64_p000__seed7859,ea7569ba5e98b982a50a178cba52320a1e29a60fa0349273babc56e923efe86b,Immutable corrected-SBI sweep checkpoint
corrected_sbi_F2b,Attn-Out LoRA / no SBI,true,attn_out,16,64,4.0,0.0,12011,frame_auc,0.9772978880364196,attn_out_r16_alpha64_p000__seed12011,4607673b03c2c4f3ceb0de4d5c35595a90ca46002715f6dd2dca6942a33cbaa7,Immutable corrected-SBI sweep checkpoint
confirmatory_F1,Attn-Out LoRA / SBI,true,attn_out,16,64,4.0,0.25,3407,frame_auc,0.9842565899866544,attn_out_r16_p025__seed3407,153af0e87ab3119c0844348baa8e445c375cfb7594915347c45187dd0d34c948,Confirmatory checkpoint re-evaluated with the factorial evaluator
confirmatory_F1,Attn-Out LoRA / SBI,true,attn_out,16,64,4.0,0.25,7859,frame_auc,0.9827138275398356,attn_out_r16_p025__seed7859,23889b943e9c1fe9981f9acd7695b8c1fdf4001f9110e6e542a30ccdebfe7294,Confirmatory checkpoint re-evaluated with the factorial evaluator
confirmatory_F1,Attn-Out LoRA / SBI,true,attn_out,16,64,4.0,0.25,12011,frame_auc,0.9858247412214673,attn_out_r16_p025__seed12011,8f9b2ea728af1fcc36b49e746c98f9c67e6040137b4aabde50131413a9dfe849,Confirmatory checkpoint re-evaluated with the factorial evaluator
