candidate,run_id,role,position,rank,alpha,p_sbi,seed,source_frame_auc,source_frame_eer,source_frame_ap
MLP r4/alpha16,sel_mlp_r4_alpha16_p025,comparable_candidate,mlp,4,16,0.25,3407,0.9825978037773794,0.05136229276948434,0.9959660359580181
MLP r4/alpha16,sel_mlp_r4_alpha16_p025,comparable_candidate,mlp,4,16,0.25,7859,0.9852908457463829,0.04778537238223884,0.9964944151836699
MLP r4/alpha16,sel_mlp_r4_alpha16_p025,comparable_candidate,mlp,4,16,0.25,12011,0.9843653794438705,0.050943146619663426,0.9963317555596632
Attn-Q/V r16/alpha64,sel_attn_qv_r16_alpha64_p025,comparable_candidate,attn_qv,16,64,0.25,3407,0.9858182003599936,0.04194490785438015,0.9967033640056727
Attn-Q/V r16/alpha64,sel_attn_qv_r16_alpha64_p025,comparable_candidate,attn_qv,16,64,0.25,7859,0.9842191752594658,0.0433981285939363,0.9964149546628585
Attn-Q/V r16/alpha64,sel_attn_qv_r16_alpha64_p025,comparable_candidate,attn_qv,16,64,0.25,12011,0.9855447461208038,0.043593717219554406,0.9967011778409525
Attn-Out r16/alpha64,sel_attn_out_r16_alpha64_p025,comparable_candidate,attn_out,16,64,0.25,3407,0.9851654886056631,0.04826045632922932,0.9965533670051556
Attn-Out r16/alpha64,sel_attn_out_r16_alpha64_p025,comparable_candidate,attn_out,16,64,0.25,7859,0.9839055887431912,0.049825358998649205,0.9962344189507378
Attn-Out r16/alpha64,sel_attn_out_r16_alpha64_p025,comparable_candidate,attn_out,16,64,0.25,12011,0.9845331553519321,0.04976942120147965,0.9963979576008134
MLP+Attn-Out r4/alpha16,sel_mlp_attn_out_r4_alpha16_p025,comparable_candidate,mlp_attn_out,4,16,0.25,3407,0.982090471571623,0.049098748628871106,0.9958670577063247
MLP+Attn-Out r4/alpha16,sel_mlp_attn_out_r4_alpha16_p025,comparable_candidate,mlp_attn_out,4,16,0.25,7859,0.982327441922554,0.04826045632922932,0.9958634561888926
MLP+Attn-Out r4/alpha16,sel_mlp_attn_out_r4_alpha16_p025,comparable_candidate,mlp_attn_out,4,16,0.25,12011,0.9851547995760723,0.047366226232417916,0.9965643306138589
Attn-Out r16/alpha64 pSBI=0.10,sel_attn_out_r16_alpha64_p010,descriptive_reference,attn_out,16,64,0.10,3407,0.9821558801863612,0.04739419513100272,0.9959106336873993
Attn-Out r16/alpha64 pSBI=0.10,sel_attn_out_r16_alpha64_p010,descriptive_reference,attn_out,16,64,0.10,7859,0.9828955972680515,0.04918265532462547,0.9960389404328551
Attn-Out r16/alpha64 pSBI=0.10,sel_attn_out_r16_alpha64_p010,descriptive_reference,attn_out,16,64,0.10,12011,0.9830591188048967,0.050551969368427305,0.996084437891217
